DATE,DEF,NDX 100 (Stooq ^NDX),"TQQQ (YF+SS 1%, ER 0.95%)","QLD (YF+SS 1%, ER 0.95%)",S&P 500 (Stooq ^SPX),1.00%,<- SS,0.95%,<- ER,TQQQ NO TAX,QLD NO TAX
2008. 5. 13,1.93,2000.61,0.666,1.37,1403.04,,,,,0.61875,1.37375
2008. 5. 14,2.03,1997.3,0.6626,1.36,1408.66,,,,,0.61567,1.36235
2008. 5. 15,2.03,2031.34,0.6963,1.42,1423.57,,,,,0.64715,1.41563
2008. 5. 16,1.91,2031.27,0.6961,1.42,1425.35,,,,,0.64709,1.41563
2008. 5. 19,1.95,2016.6,0.6806,1.4,1426.63,,,,,0.63307,1.40188
2008. 5. 20,1.99,2000.67,0.6644,1.38,1413.4,,,,,0.61806,1.37641
2008. 5. 21,2.03,1956.8,0.6205,1.32,1390.71,,,,,0.57741,1.31985
2008. 5. 22,2.05,1964.92,0.6281,1.32,1394.35,,,,,0.58459,1.31719
2008. 5. 23,1.99,1958.96,0.6223,1.31,1375.93,,,,,0.57927,1.31282
2008. 5. 27,2.23,1995.43,0.6566,1.36,1385.35,,,,,0.61163,1.35719
2008. 5. 28,2.08,2000.06,0.661,1.37,1390.84,,,,,0.61589,1.37297
2008. 5. 29,2.01,2019.02,0.6797,1.4,1398.26,,,,,0.6334,1.39797
2008. 5. 30,1.98,2032.56,0.6932,1.41,1400.38,,,,,0.64614,1.41407
2008. 6. 2,2.06,2006.84,0.6665,1.38,1385.67,,,,,0.62161,1.38235
2008. 6. 3,1.95,1996.79,0.6564,1.37,1377.65,,,,,0.61228,1.36547
2008. 6. 4,1.98,2021.45,0.6806,1.39,1377.2,,,,,0.63496,1.38875
2008. 6. 5,1.98,2055.11,0.7144,1.44,1404.05,,,,,0.66668,1.44125
2008. 6. 6,2.01,1990.39,0.6468,1.35,1360.68,,,,,0.60369,1.34578
2008. 6. 9,2.02,1979.71,0.636,1.34,1361.76,,,,,0.59398,1.34313
2008. 6. 10,1.96,1972.54,0.629,1.33,1358.44,,,,,0.58752,1.32563
2008. 6. 11,1.95,1924.33,0.5828,1.26,1335.49,,,,,0.54444,1.26485
2008. 6. 12,2.01,1924.26,0.5826,1.27,1339.87,,,,,0.54438,1.26719
2008. 6. 13,2.02,1966.01,0.6204,1.31,1360.03,,,,,0.57982,1.31469
2008. 6. 16,2.06,1984.76,0.6378,1.33,1360.14,,,,,0.59641,1.3336
2008. 6. 17,1.87,1972.81,0.6261,1.33,1350.93,,,,,0.58564,1.32703
2008. 6. 18,1.84,1951.1,0.6054,1.3,1337.81,,,,,0.5663,1.29766
2008. 6. 19,1.94,1982.68,0.6346,1.33,1342.83,,,,,0.5938,1.33438
2008. 6. 20,1.99,1928.39,0.5824,1.27,1317.93,,,,,0.54502,1.26875
2008. 6. 23,1.98,1913.31,0.5684,1.24,1318,,,,,0.53223,1.24047
2008. 6. 24,1.93,1903.74,0.5598,1.23,1314.29,,,,,0.52425,1.23219
2008. 6. 25,1.97,1933.86,0.5862,1.26,1321.97,,,,,0.54913,1.25875
2008. 6. 26,2.05,1855.39,0.5147,1.17,1283.15,,,,,0.48229,1.16969
2008. 6. 27,1.99,1855.72,0.5149,1.17,1278.38,,,,,0.48254,1.17297
2008. 6. 30,2.47,1837.09,0.4991,1.15,1280,,,,,0.46801,1.1461
2008. 7. 1,2.11,1862.71,0.5199,1.18,1284.91,,,,,0.48759,1.1761
2008. 7. 2,1.95,1816.15,0.4808,1.12,1261.52,,,,,0.45103,1.11844
2008. 7. 3,1.92,1816.35,0.4809,1.11,1262.9,,,,,0.45118,1.1125
2008. 7. 7,1.99,1826.93,0.4889,1.13,1252.31,,,,,0.45906,1.12938
2008. 7. 8,1.97,1871.28,0.5244,1.17,1273.7,,,,,0.49249,1.16938
2008. 7. 9,1.99,1819.18,0.4805,1.12,1244.69,,,,,0.45136,1.12485
2008. 7. 10,2.01,1839.56,0.4966,1.14,1253.39,,,,,0.46653,1.14422
2008. 7. 11,1.97,1810.88,0.4733,1.11,1239.49,,,,,0.44471,1.10891
2008. 7. 14,2.06,1798.03,0.4629,1.09,1228.3,,,,,0.43524,1.09282
2008. 7. 15,2.16,1798.35,0.4631,1.09,1214.91,,,,,0.43547,1.08813
2008. 7. 16,1.95,1843.87,0.4981,1.14,1245.36,,,,,0.46854,1.14016
2008. 7. 17,2.03,1853.47,0.5058,1.14,1260.32,,,,,0.47586,1.13532
2008. 7. 18,1.96,1823.23,0.481,1.12,1260.68,,,,,0.45257,1.12094
2008. 7. 21,1.98,1819.76,0.478,1.12,1260,,,,,0.44998,1.12188
2008. 7. 22,1.97,1821.62,0.4793,1.12,1277,,,,,0.45136,1.12094
2008. 7. 23,2.04,1845.56,0.4981,1.15,1282.19,,,,,0.46916,1.14657
2008. 7. 24,2.06,1816.98,0.4749,1.11,1252.54,,,,,0.44736,1.10735
2008. 7. 25,2.13,1846.55,0.498,1.14,1257.76,,,,,0.4692,1.13703
2008. 7. 28,2,1802.99,0.4624,1.1,1234.37,,,,,0.436,1.1025
2008. 7. 29,2.05,1845.55,0.4951,1.14,1263.2,,,,,0.46687,1.13547
2008. 7. 30,2.03,1852.8,0.5008,1.16,1284.26,,,,,0.47237,1.155
2008. 7. 31,2.09,1849.15,0.4978,1.15,1267.38,,,,,0.46958,1.1511
2008. 8. 1,2.04,1826.56,0.4794,1.12,1260.31,,,,,0.45237,1.12328
2008. 8. 4,1.97,1804.84,0.4621,1.1,1249.01,,,,,0.43624,1.10078
2008. 8. 5,1.97,1869.76,0.5118,1.17,1284.88,,,,,0.48331,1.16844
2008. 8. 6,2.01,1895.21,0.5326,1.2,1289.19,,,,,0.50305,1.20344
2008. 8. 7,1.96,1880.09,0.5198,1.19,1266.07,,,,,0.49101,1.19094
2008. 8. 8,2.01,1926.23,0.558,1.24,1296.32,,,,,0.52716,1.23766
2008. 8. 11,1.99,1941.23,0.5707,1.26,1305.32,,,,,0.53947,1.26094
2008. 8. 12,1.95,1941.06,0.5704,1.27,1289.59,,,,,0.53933,1.26594
2008. 8. 13,1.98,1942.02,0.5712,1.26,1285.83,,,,,0.54013,1.25985
2008. 8. 14,2.09,1964.38,0.5908,1.29,1292.93,,,,,0.55879,1.29
2008. 8. 15,2.08,1957.56,0.5845,1.29,1298.2,,,,,0.55297,1.29078
2008. 8. 18,1.91,1932.7,0.5619,1.26,1278.6,,,,,0.5319,1.26282
2008. 8. 19,1.94,1908.68,0.5408,1.23,1266.69,,,,,0.51207,1.23125
2008. 8. 20,1.98,1913.02,0.5444,1.22,1274.54,,,,,0.51556,1.22422
2008. 8. 21,2.01,1906.74,0.539,1.21,1277.72,,,,,0.51048,1.20969
2008. 8. 22,2.02,1931.47,0.5598,1.24,1292.2,,,,,0.53034,1.24375
2008. 8. 25,2.01,1889.72,0.5232,1.2,1266.84,,,,,0.49595,1.1975
2008. 8. 26,1.88,1886.31,0.5203,1.19,1271.51,,,,,0.49327,1.19266
2008. 8. 27,1.98,1900.3,0.5318,1.2,1281.66,,,,,0.50424,1.20453
2008. 8. 28,1.99,1915.12,0.5441,1.21,1300.68,,,,,0.51604,1.2111
2008. 8. 29,1.94,1872.54,0.5077,1.17,1282.83,,,,,0.48162,1.17313
2008. 9. 2,1.96,1850.14,0.4891,1.14,1277.58,,,,,0.46434,1.1436
2008. 9. 3,2.01,1833.09,0.4755,1.12,1274.98,,,,,0.4515,1.12266
2008. 9. 4,1.99,1774.78,0.43,1.05,1236.83,,,,,0.40841,1.05032
2008. 9. 5,1.97,1768.23,0.4252,1.05,1242.31,,,,,0.40389,1.04672
2008. 9. 8,1.92,1762.95,0.4211,1.03,1267.79,,,,,0.40027,1.03485
2008. 9. 9,1.96,1721.55,0.3914,1,1224.51,,,,,0.37207,0.99594
2008. 9. 10,2.12,1738.06,0.4026,1.01,1232.04,,,,,0.38278,1.005
2008. 9. 11,2,1773.65,0.4272,1.05,1249.05,,,,,0.40629,1.04563
2008. 9. 12,2.1,1767.13,0.4224,1.05,1251.7,,,,,0.40181,1.04969
2008. 9. 15,2.64,1705.46,0.3779,0.98,1192.7,,,,,0.35974,0.9811
2008. 9. 16,1.98,1724.08,0.3902,0.99,1213.6,,,,,0.37153,0.9875
2008. 9. 17,2.8,1632.45,0.3279,0.89,1156.39,,,,,0.31229,0.88907
2008. 9. 18,2.16,1697.42,0.367,0.95,1206.51,,,,,0.34958,0.95328
2008. 9. 19,1.48,1745.06,0.3978,0.99,1255.08,,,,,0.37901,0.98969
2008. 9. 22,1.51,1665.94,0.3435,0.91,1207.09,,,,,0.32746,0.91485
2008. 9. 23,1.46,1648.4,0.3326,0.9,1188.22,,,,,0.31712,0.89688
2008. 9. 24,1.19,1661.33,0.3404,0.92,1185.87,,,,,0.32458,0.91547
2008. 9. 25,1.23,1687.55,0.3565,0.92,1209.18,,,,,0.33995,0.92485
2008. 9. 26,1.08,1672.04,0.3466,0.92,1213.27,,,,,0.33057,0.91875
2008. 9. 29,1.56,1496.15,0.2371,0.74,1106.42,,,,,0.22625,0.74141
2008. 9. 30,2.03,1584.6,0.2791,0.82,1166.36,,,,,0.26638,0.81844
2008. 10. 1,1.15,1563.8,0.268,0.8,1161.06,,,,,0.25589,0.79703
2008. 10. 2,0.67,1491.11,0.2306,0.73,1114.28,,,,,0.2202,0.73282
2008. 10. 3,1.1,1470.84,0.2212,0.7,1099.23,,,,,0.21122,0.69922
2008. 10. 6,1.96,1411.28,0.1942,0.63,1056.89,,,,,0.18556,0.63375
2008. 10. 7,2.97,1329.98,0.1606,0.57,996.23,,,,,0.15349,0.57032
2008. 10. 8,2.24,1330.61,0.1608,0.56,984.94,,,,,0.15371,0.55578
2008. 10. 9,1.4,1275.1,0.1406,0.51,909.92,,,,,0.13447,0.51282
2008. 10. 10,0.79,1269.8,0.1389,0.52,899.22,,,,,0.1328,0.52047
2008. 10. 13,0.79,1429.54,0.1912,0.65,1003.35,,,,,0.18292,0.64844
2008. 10. 14,1.1,1364.59,0.1651,0.59,998.01,,,,,0.15798,0.58828
2008. 10. 15,1.04,1244.23,0.1214,0.48,907.84,,,,,0.11618,0.48078
2008. 10. 16,0.83,1312.97,0.1415,0.54,946.43,,,,,0.13544,0.53547
2008. 10. 17,0.6,1311.72,0.1411,0.53,940.55,,,,,0.13505,0.53438
2008. 10. 20,0.7,1352.76,0.1543,0.57,985.4,,,,,0.14772,0.57032
2008. 10. 21,0.67,1283.43,0.1306,0.51,955.05,,,,,0.12501,0.51297
2008. 10. 22,0.81,1237.09,0.1164,0.48,896.78,,,,,0.11147,0.47828
2008. 10. 23,0.93,1239.16,0.117,0.47,908.11,,,,,0.11203,0.47391
2008. 10. 24,0.95,1202.27,0.1065,0.45,876.77,,,,,0.10202,0.44657
2008. 10. 27,0.92,1169.78,0.0978,0.42,848.92,,,,,0.09375,0.42047
2008. 10. 28,0.67,1297.57,0.1299,0.51,940.51,,,,,0.12448,0.50844
2008. 10. 29,0.36,1302.12,0.1312,0.51,930.09,,,,,0.12579,0.51391
2008. 10. 30,0.3,1333.94,0.1408,0.54,954.09,,,,,0.13501,0.54063
2008. 10. 31,0.22,1334.78,0.1411,0.54,968.75,,,,,0.13527,0.54344
2008. 11. 3,0.23,1334.75,0.141,0.55,966.3,,,,,0.13526,0.54594
2008. 11. 4,0.23,1378.4,0.1549,0.58,1005.75,,,,,0.14853,0.57703
2008. 11. 5,0.23,1334.32,0.14,0.51,952.77,,,,,0.13428,0.51407
2008. 11. 6,0.23,1241.97,0.1109,0.47,904.88,,,,,0.1064,0.46547
2008. 11. 7,0.27,1271.62,0.1188,0.49,930.99,,,,,0.11402,0.48578
2008. 11. 10,0.29,1251,0.113,0.48,919.21,,,,,0.10847,0.47766
2008. 11. 11,0.29,1225.59,0.1061,0.46,898.95,,,,,0.10186,0.45875
2008. 11. 12,0.35,1165.38,0.0905,0.41,852.3,,,,,0.08685,0.41235
2008. 11. 13,0.35,1240.93,0.1081,0.46,911.29,,,,,0.10374,0.46063
2008. 11. 14,0.34,1179.63,0.092,0.42,873.29,,,,,0.08836,0.41532
2008. 11. 17,0.37,1151.96,0.0855,0.4,850.75,,,,,0.08215,0.39922
2008. 11. 18,0.38,1155.75,0.0864,0.4,859.12,,,,,0.08296,0.39563
2008. 11. 19,0.38,1087.6,0.0711,0.35,806.58,,,,,0.06828,0.35469
2008. 11. 20,0.49,1036.51,0.0611,0.32,752.44,,,,,0.05866,0.32235
2008. 11. 21,0.57,1085.57,0.0697,0.35,800.03,,,,,0.06699,0.34766
2008. 11. 24,0.62,1154.34,0.083,0.39,851.81,,,,,0.07972,0.38907
2008. 11. 25,0.59,1142.58,0.0804,0.39,857.39,,,,,0.07728,0.38641
2008. 11. 26,0.53,1193.09,0.0911,0.42,887.68,,,,,0.08753,0.41828
2008. 11. 28,0.52,1185.75,0.0894,0.41,896.24,,,,,0.08592,0.41313
2008. 12. 1,0.52,1091.16,0.0679,0.35,816.21,,,,,0.06536,0.35172
2008. 12. 2,0.47,1130,0.0752,0.37,848.81,,,,,0.07234,0.37422
2008. 12. 3,0.36,1166.2,0.0824,0.39,870.74,,,,,0.07929,0.39297
2008. 12. 4,0.2,1127.75,0.0743,0.37,845.22,,,,,0.07144,0.37188
2008. 12. 5,0.12,1177.87,0.0841,0.4,876.07,,,,,0.08097,0.40172
2008. 12. 8,0.12,1225.06,0.0942,0.43,909.7,,,,,0.0907,0.4336
2008. 12. 9,0.13,1212.45,0.0913,0.43,888.67,,,,,0.0879,0.43016
2008. 12. 10,0.11,1222.38,0.0936,0.43,899.24,,,,,0.09006,0.42969
2008. 12. 11,0.14,1180.46,0.0839,0.41,873.59,,,,,0.0808,0.40594
2008. 12. 12,0.15,1206.65,0.0895,0.42,879.73,,,,,0.08617,0.42172
2008. 12. 15,0.18,1181.87,0.084,0.41,868.57,,,,,0.08086,0.40703
2008. 12. 16,0.17,1243.49,0.0971,0.45,913.18,,,,,0.09351,0.44532
2008. 12. 17,0.12,1225.86,0.0929,0.43,904.42,,,,,0.08954,0.43485
2008. 12. 18,0.11,1204.69,0.0881,0.42,885.28,,,,,0.0849,0.42078
2008. 12. 19,0.11,1217.19,0.0909,0.43,887.88,,,,,0.08754,0.42547
2008. 12. 22,0.11,1189.15,0.0846,0.41,871.63,,,,,0.08149,0.40891
2008. 12. 23,0.11,1183.19,0.0833,0.4,863.16,,,,,0.08026,0.40375
2008. 12. 24,0.11,1184.3,0.0835,0.4,868.15,,,,,0.08049,0.40485
2008. 12. 26,0.09,1185.44,0.0837,0.41,872.8,,,,,0.08072,0.40516
2008. 12. 29,0.1,1173.15,0.0811,0.39,869.42,,,,,0.07821,0.39485
2008. 12. 30,0.09,1201.34,0.0869,0.41,890.64,,,,,0.08385,0.41282
2008. 12. 31,0.14,1211.65,0.0892,0.42,903.25,,,,,0.08601,0.42016
2009. 1. 2,0.08,1263.7,0.1007,0.46,931.8,,,,,0.09709,0.45719
2009. 1. 5,0.11,1262.52,0.1003,0.46,927.45,,,,,0.09682,0.45719
2009. 1. 6,0.09,1274.49,0.1032,0.47,934.7,,,,,0.09957,0.46657
2009. 1. 7,0.11,1238.6,0.0945,0.44,906.65,,,,,0.09116,0.44047
2009. 1. 8,0.1,1252.52,0.0976,0.45,909.73,,,,,0.09424,0.45
2009. 1. 9,0.09,1223.01,0.0907,0.43,890.35,,,,,0.08758,0.43
2009. 1. 12,0.1,1201.13,0.0858,0.41,870.26,,,,,0.08288,0.41407
2009. 1. 13,0.1,1202.65,0.0862,0.41,871.79,,,,,0.08319,0.4136
2009. 1. 14,0.15,1163.42,0.0777,0.39,842.62,,,,,0.07505,0.38875
2009. 1. 15,0.18,1183.52,0.0817,0.4,843.74,,,,,0.07894,0.40016
2009. 1. 16,0.19,1198.14,0.0848,0.41,850.12,,,,,0.08186,0.41016
2009. 1. 20,0.2,1136.61,0.0717,0.37,805.22,,,,,0.06925,0.3711
2009. 1. 21,0.23,1185.76,0.081,0.4,840.24,,,,,0.07824,0.39953
2009. 1. 22,0.21,1168.08,0.0773,0.39,827.5,,,,,0.07474,0.3911
2009. 1. 23,0.18,1175.89,0.0789,0.39,831.95,,,,,0.07624,0.39266
2009. 1. 26,0.19,1184.56,0.0806,0.4,836.57,,,,,0.07792,0.3986
2009. 1. 27,0.18,1194.41,0.0826,0.41,845.71,,,,,0.07987,0.40516
2009. 1. 28,0.19,1235.91,0.0912,0.43,874.09,,,,,0.08819,0.43219
2009. 1. 29,0.23,1203.85,0.0841,0.41,845.14,,,,,0.08133,0.41141
2009. 1. 30,0.23,1180.25,0.0792,0.4,825.88,,,,,0.07654,0.39578
2009. 2. 2,0.24,1195.75,0.0822,0.41,825.44,,,,,0.07956,0.4061
2009. 2. 3,0.24,1215.66,0.0863,0.42,838.51,,,,,0.08353,0.41907
2009. 2. 4,0.24,1215.43,0.0863,0.42,832.23,,,,,0.08349,0.41938
2009. 2. 5,0.23,1245.11,0.0926,0.44,845.85,,,,,0.0896,0.43844
2009. 2. 6,0.23,1277.49,0.0998,0.46,868.6,,,,,0.09659,0.46078
2009. 2. 9,0.22,1281.65,0.1008,0.47,869.89,,,,,0.09754,0.46594
2009. 2. 10,0.24,1229.29,0.0884,0.43,827.16,,,,,0.08558,0.43094
2009. 2. 11,0.22,1227.05,0.0879,0.43,833.74,,,,,0.08511,0.42782
2009. 2. 12,0.23,1242.81,0.0913,0.44,835.19,,,,,0.08839,0.4375
2009. 2. 13,0.22,1236.85,0.09,0.43,826.84,,,,,0.08712,0.43282
2009. 2. 17,0.25,1187.04,0.0791,0.4,789.17,,,,,0.0766,0.4
2009. 2. 18,0.23,1188.77,0.0794,0.4,788.42,,,,,0.07693,0.39891
2009. 2. 19,0.21,1167.89,0.0752,0.39,778.94,,,,,0.07288,0.3875
2009. 2. 20,0.2,1172.71,0.0761,0.39,770.05,,,,,0.07378,0.3886
2009. 2. 23,0.19,1128.97,0.0676,0.36,743.33,,,,,0.06552,0.36188
2009. 2. 24,0.21,1171.45,0.0752,0.38,773.14,,,,,0.07292,0.38438
2009. 2. 25,0.21,1160.83,0.0732,0.38,764.9,,,,,0.07094,0.38
2009. 2. 26,0.22,1127.1,0.0668,0.36,752.83,,,,,0.06475,0.35938
2009. 2. 27,0.22,1116.99,0.065,0.35,735.09,,,,,0.06301,0.35188
2009. 3. 2,0.22,1076.67,0.0579,0.33,700.82,,,,,0.05619,0.32969
2009. 3. 3,0.2,1080.67,0.0586,0.33,696.33,,,,,0.05681,0.32907
2009. 3. 4,0.21,1110.3,0.0634,0.35,712.87,,,,,0.06149,0.34578
2009. 3. 5,0.2,1074.52,0.0572,0.33,682.55,,,,,0.05554,0.32578
2009. 3. 6,0.2,1064.7,0.0557,0.32,683.38,,,,,0.05402,0.32078
2009. 3. 9,0.2,1043.87,0.0524,0.31,676.53,,,,,0.05085,0.30625
2009. 3. 10,0.2,1112.44,0.0627,0.34,719.6,,,,,0.06087,0.3436
2009. 3. 11,0.19,1125.95,0.065,0.35,721.36,,,,,0.06309,0.35391
2009. 3. 12,0.18,1164.71,0.0717,0.38,750.74,,,,,0.0696,0.37782
2009. 3. 13,0.15,1153.34,0.0696,0.38,756.55,,,,,0.06757,0.38063
2009. 3. 16,0.2,1145.45,0.0681,0.37,753.89,,,,,0.06618,0.36672
2009. 3. 17,0.2,1192.17,0.0765,0.39,778.12,,,,,0.07428,0.39438
2009. 3. 18,0.18,1206.96,0.0793,0.4,794.35,,,,,0.07704,0.40438
2009. 3. 19,0.17,1204.21,0.0788,0.4,784.04,,,,,0.07651,0.40422
2009. 3. 20,0.18,1187.18,0.0754,0.39,768.54,,,,,0.07327,0.3925
2009. 3. 23,0.17,1259.81,0.0892,0.44,822.92,,,,,0.08672,0.43875
2009. 3. 24,0.17,1234.34,0.0838,0.42,806.12,,,,,0.08146,0.42328
2009. 3. 25,0.17,1236.66,0.0843,0.43,813.88,,,,,0.08192,0.4261
2009. 3. 26,0.16,1281.3,0.0934,0.45,832.86,,,,,0.09079,0.45282
2009. 3. 27,0.15,1251.47,0.0869,0.43,815.94,,,,,0.08445,0.43469
2009. 3. 30,0.16,1220.81,0.0805,0.41,787.53,,,,,0.07824,0.41266
2009. 3. 31,0.16,1237.01,0.0837,0.42,797.87,,,,,0.08135,0.42203
2009. 4. 1,0.16,1252.51,0.0868,0.43,811.08,,,,,0.08441,0.43375
2009. 4. 2,0.16,1294.3,0.0955,0.46,834.38,,,,,0.09286,0.46157
2009. 4. 3,0.13,1316.16,0.1003,0.48,842.5,,,,,0.09757,0.47844
2009. 4. 6,0.14,1313.1,0.0996,0.48,835.48,,,,,0.09689,0.47563
2009. 4. 7,0.14,1275.42,0.091,0.45,815.55,,,,,0.08854,0.44953
2009. 4. 8,0.14,1300.75,0.0964,0.47,825.16,,,,,0.09382,0.46657
2009. 4. 9,0.14,1340.28,0.1052,0.49,856.56,,,,,0.10237,0.49453
2009. 4. 13,0.13,1336.67,0.1043,0.49,858.73,,,,,0.10155,0.49328
2009. 4. 14,0.16,1322.31,0.1009,0.48,841.5,,,,,0.09827,0.48063
2009. 4. 15,0.16,1316.51,0.0996,0.48,852.06,,,,,0.09698,0.48
2009. 4. 16,0.15,1352.98,0.1079,0.5,865.3,,,,,0.10504,0.50375
2009. 4. 17,0.13,1353.92,0.1081,0.5,869.6,,,,,0.10526,0.50407
2009. 4. 20,0.14,1309.37,0.0974,0.47,832.39,,,,,0.09487,0.47157
2009. 4. 21,0.15,1329.06,0.1018,0.49,850.08,,,,,0.09915,0.48516
2009. 4. 22,0.15,1335.72,0.1033,0.49,843.55,,,,,0.10064,0.48953
2009. 4. 23,0.17,1344.41,0.1053,0.5,851.92,,,,,0.1026,0.49969
2009. 4. 24,0.16,1373.28,0.1121,0.52,866.23,,,,,0.10921,0.51625
2009. 4. 27,0.17,1369.94,0.1112,0.52,857.51,,,,,0.10842,0.51672
2009. 4. 28,0.16,1361.92,0.1093,0.51,855.16,,,,,0.10651,0.50953
2009. 4. 29,0.18,1382.38,0.1142,0.52,873.64,,,,,0.11131,0.52313
2009. 4. 30,0.2,1394.33,0.1171,0.53,872.81,,,,,0.1142,0.53313
2009. 5. 1,0.22,1396.62,0.1177,0.54,877.52,,,,,0.11476,0.53594
2009. 5. 4,0.22,1427.96,0.1256,0.56,907.24,,,,,0.12249,0.5586
2009. 5. 5,0.2,1423.81,0.1245,0.56,903.8,,,,,0.12142,0.55688
2009. 5. 6,0.18,1423.85,0.1245,0.56,919.53,,,,,0.12143,0.55672
2009. 5. 7,0.18,1389.83,0.1155,0.53,907.39,,,,,0.11273,0.53016
2009. 5. 8,0.17,1394.16,0.1166,0.53,929.23,,,,,0.11378,0.53203
2009. 5. 11,0.17,1395.79,0.117,0.54,909.24,,,,,0.11418,0.53532
2009. 5. 12,0.16,1377.4,0.1123,0.52,908.35,,,,,0.10967,0.52203
2009. 5. 13,0.16,1339.83,0.1031,0.49,883.92,,,,,0.10069,0.49313
2009. 5. 14,0.16,1359.67,0.1077,0.5,893.07,,,,,0.10517,0.50375
2009. 5. 15,0.17,1355.11,0.1066,0.5,882.88,,,,,0.10411,0.50266
2009. 5. 18,0.16,1392.73,0.1155,0.53,909.71,,,,,0.11278,0.52938
2009. 5. 19,0.15,1398.05,0.1168,0.54,908.13,,,,,0.11407,0.53547
2009. 5. 20,0.14,1393.72,0.1157,0.53,903.47,,,,,0.11301,0.5311
2009. 5. 21,0.17,1367.39,0.1091,0.51,888.33,,,,,0.10661,0.51172
2009. 5. 22,0.17,1363.17,0.1081,0.51,887,,,,,0.10562,0.50782
2009. 5. 26,0.18,1412.61,0.1198,0.55,910.33,,,,,0.11711,0.54657
2009. 5. 27,0.17,1401.88,0.1171,0.54,893.06,,,,,0.11444,0.5375
2009. 5. 28,0.17,1420.31,0.1217,0.55,906.83,,,,,0.11895,0.55203
2009. 5. 29,0.19,1435.57,0.1256,0.56,919.14,,,,,0.12279,0.56407
2009. 6. 1,0.21,1477.12,0.1365,0.6,942.87,,,,,0.13345,0.59813
2009. 6. 2,0.2,1480.31,0.1373,0.6,944.74,,,,,0.13432,0.59813
2009. 6. 3,0.21,1475.44,0.136,0.6,931.76,,,,,0.13299,0.59657
2009. 6. 4,0.2,1492.74,0.1408,0.61,942.46,,,,,0.13767,0.6086
2009. 6. 5,0.21,1493.21,0.1409,0.61,940.09,,,,,0.1378,0.61016
2009. 6. 8,0.21,1488.49,0.1395,0.61,939.14,,,,,0.13649,0.60547
2009. 6. 9,0.18,1501.55,0.1432,0.62,942.43,,,,,0.14008,0.61563
2009. 6. 10,0.18,1495.27,0.1413,0.61,939.15,,,,,0.13833,0.61078
2009. 6. 11,0.17,1497.01,0.1418,0.61,944.89,,,,,0.13881,0.61016
2009. 6. 12,0.17,1489.97,0.1398,0.61,946.21,,,,,0.13685,0.60578
2009. 6. 15,0.22,1456.96,0.1305,0.58,923.72,,,,,0.12775,0.57969
2009. 6. 16,0.22,1443.25,0.1268,0.57,911.97,,,,,0.12415,0.56953
2009. 6. 17,0.24,1455.89,0.1301,0.58,910.71,,,,,0.12741,0.57907
2009. 6. 18,0.25,1453.8,0.1295,0.58,918.37,,,,,0.12686,0.5761
2009. 6. 19,0.25,1471.23,0.1342,0.59,921.23,,,,,0.13142,0.58907
2009. 6. 22,0.24,1426.61,0.1219,0.56,893.04,,,,,0.11947,0.55578
2009. 6. 23,0.24,1424.46,0.1214,0.55,895.1,,,,,0.11893,0.55266
2009. 6. 24,0.21,1447.06,0.1271,0.57,900.94,,,,,0.12459,0.57063
2009. 6. 25,0.19,1475.82,0.1347,0.59,920.26,,,,,0.13202,0.59391
2009. 6. 26,0.18,1480.2,0.1359,0.6,918.9,,,,,0.13319,0.5961
2009. 6. 29,0.17,1483.83,0.1369,0.6,927.23,,,,,0.13417,0.59782
2009. 6. 30,0.22,1477.25,0.135,0.6,919.32,,,,,0.13239,0.59532
2009. 7. 1,0.2,1481.34,0.1361,0.6,923.33,,,,,0.13349,0.59625
2009. 7. 2,0.17,1446.28,0.1265,0.57,896.42,,,,,0.12401,0.57063
2009. 7. 6,0.18,1441.01,0.125,0.57,898.72,,,,,0.12265,0.56532
2009. 7. 7,0.18,1404.78,0.1156,0.54,881.03,,,,,0.1134,0.53703
2009. 7. 8,0.16,1411.53,0.1172,0.54,879.56,,,,,0.11504,0.54188
2009. 7. 9,0.15,1414.98,0.1181,0.54,882.68,,,,,0.11588,0.54297
2009. 7. 10,0.15,1419.84,0.1193,0.55,879.13,,,,,0.11707,0.54844
2009. 7. 13,0.13,1447.7,0.1263,0.57,901.05,,,,,0.12396,0.56875
2009. 7. 14,0.13,1452.84,0.1276,0.57,905.84,,,,,0.12529,0.57282
2009. 7. 15,0.14,1500.98,0.1403,0.61,932.68,,,,,0.13774,0.61094
2009. 7. 16,0.15,1518.87,0.1453,0.63,940.74,,,,,0.14266,0.62563
2009. 7. 17,0.15,1527.26,0.1477,0.63,940.38,,,,,0.14503,0.63235
2009. 7. 20,0.15,1544,0.1525,0.64,951.13,,,,,0.1498,0.64469
2009. 7. 21,0.14,1553.01,0.1552,0.65,954.58,,,,,0.15242,0.65469
2009. 7. 22,0.14,1565,0.1587,0.66,954.07,,,,,0.15595,0.66407
2009. 7. 23,0.15,1601.52,0.1698,0.69,976.29,,,,,0.16687,0.69407
2009. 7. 24,0.15,1599.06,0.1691,0.69,979.26,,,,,0.1661,0.69344
2009. 7. 27,0.16,1599.31,0.1691,0.69,982.18,,,,,0.16618,0.69453
2009. 7. 28,0.15,1605.47,0.171,0.7,979.62,,,,,0.1681,0.69907
2009. 7. 29,0.17,1599.61,0.1691,0.69,975.15,,,,,0.16626,0.69344
2009. 7. 30,0.17,1609.87,0.1724,0.7,986.75,,,,,0.16946,0.70141
