DATE,DEF,NDX 100 (Stooq ^NDX),"TQQQ (YF+SS 1%, ER 0.95%)","QLD (YF+SS 1%, ER 0.95%)",S&P 500 (Stooq ^SPX),1.00%,<- SS,0.95%,<- ER,TQQQ NO TAX,QLD NO TAX
1992. 2. 3,4,341.38,1.8395,0.52,409.53,,,,,0.2771,0.2203
1992. 2. 4,3.83,346.92,1.9285,0.54,413.85,,,,,0.29059,0.22745
1992. 2. 5,4.17,350.86,1.9937,0.55,413.84,,,,,0.30049,0.23262
1992. 2. 6,4.1,349.07,1.9625,0.54,413.82,,,,,0.29589,0.23025
1992. 2. 7,3.89,346.8,1.9236,0.54,411.09,,,,,0.29012,0.22725
1992. 2. 10,3.95,345.23,1.8958,0.53,413.77,,,,,0.28618,0.22519
1992. 2. 11,3.91,344.4,1.8816,0.53,413.76,,,,,0.28412,0.22411
1992. 2. 12,3.9,355.98,2.0708,0.56,417.13,,,,,0.31277,0.23918
1992. 2. 13,4,349.81,1.9625,0.54,413.69,,,,,0.29651,0.23089
1992. 2. 14,4,346.7,1.9096,0.53,412.48,,,,,0.2886,0.22679
1992. 2. 18,4.81,338.55,1.7726,0.51,407.38,,,,,0.26825,0.21612
1992. 2. 19,4.57,338.06,1.7643,0.51,408.26,,,,,0.26708,0.2155
1992. 2. 20,4.1,345.33,1.8775,0.53,413.9,,,,,0.28432,0.22477
1992. 2. 21,3.9,342.39,1.829,0.52,411.43,,,,,0.27705,0.22094
1992. 2. 24,4.04,338.96,1.7724,0.51,412.27,,,,,0.26873,0.21651
1992. 2. 25,3.97,338.33,1.762,0.51,410.45,,,,,0.26723,0.21571
1992. 2. 26,3.93,347.81,1.9095,0.54,415.35,,,,,0.28969,0.2278
1992. 2. 27,3.96,347.39,1.902,0.53,413.86,,,,,0.28864,0.22725
1992. 2. 28,4.13,345.88,1.8767,0.53,412.7,,,,,0.28488,0.22527
1992. 3. 2,4.32,346.64,1.8873,0.53,412.45,,,,,0.28676,0.22626
1992. 3. 3,4.02,345.7,1.8713,0.53,412.85,,,,,0.28442,0.22503
1992. 3. 4,3.86,341.61,1.8043,0.52,409.33,,,,,0.27433,0.21971
1992. 3. 5,4.08,337.52,1.739,0.5,406.51,,,,,0.26448,0.21445
1992. 3. 6,3.95,333,1.6686,0.49,404.44,,,,,0.25385,0.2087
1992. 3. 9,4,333.32,1.6719,0.49,405.21,,,,,0.25458,0.2091
1992. 3. 10,3.87,340.32,1.7767,0.51,406.89,,,,,0.27062,0.21789
1992. 3. 11,3.83,335.05,1.6937,0.5,404.03,,,,,0.25805,0.21114
1992. 3. 12,3.94,334.83,1.6898,0.49,403.89,,,,,0.25754,0.21086
1992. 3. 13,3.85,336.47,1.7142,0.5,405.84,,,,,0.26133,0.21293
1992. 3. 16,4.28,338.27,1.7402,0.5,406.39,,,,,0.26552,0.21521
1992. 3. 17,4.14,342.92,1.8114,0.52,409.58,,,,,0.27647,0.22112
1992. 3. 18,4.4,342.62,1.8061,0.52,409.15,,,,,0.27574,0.22074
